Day,RICS prices,Sales expectation,RICSNBESAP,RICSNISSAP,RICSASSA
2003-11-30,34.3,22.36511542,-5.092478772,0.398070446,-4.628887203
2003-12-31,32.0,28.65703408,-5.476077772,0.694781537,-3.76379116
2004-01-31,32.0,25.89472311,16.18939124,3.748613451,25.60975714
2004-02-29,32.6,23.73797239,9.106540584,-5.742878851,17.44551699
2004-03-31,31.2,23.5477055,4.458207707,-3.590045208,8.461169697
2004-04-30,31.7,26.79001869,6.335659499,-11.53746625,3.674060802
2004-05-31,30.1,18.35390422,-18.43179855,0.928599068,-13.19583806
2004-06-30,29.6,0.069796169,-37.68412596,16.38737391,-18.80523317
2004-07-31,28.9,13.63317618,-28.75104838,3.651875887,-32.37426113
2004-08-31,29.0,16.26118987,-35.90219887,20.12010373,-30.7746154
2004-09-30,27.7,11.2680873,-22.45296061,31.17532966,-22.26579374
2004-10-31,24.4,18.16377562,-24.0491332,21.85697628,-24.60987322
2004-11-30,23.4,30.82391619,-6.997563939,29.07654696,-16.61717909
2004-12-31,22.7,16.93803427,-8.368025925,15.94047094,-3.131868397
2005-01-31,21.0,19.50065266,-1.685267724,19.36006226,-8.281472774
2005-02-28,20.6,23.56169273,-3.383228166,22.07581079,0.148187784
2005-03-31,21.2,22.58173894,-4.978892732,16.59108237,-9.279670975
2005-04-30,21.7,23.56501235,2.276793048,20.53662627,-1.367254355
2005-05-31,22.2,23.6033483,-10.65729563,12.31069991,-8.924218105
2005-06-30,22.3,25.36092756,11.38677554,14.62294512,-3.115668277
2005-07-31,22.6,34.66965288,6.794243724,9.39114802,3.706460376
2005-08-31,23.1,29.96223274,15.09396375,6.261954442,11.67962096
2005-09-30,23.8,35.91231047,19.6013737,1.003583816,4.642677914
2005-10-31,23.2,27.86564441,20.09194444,5.816852431,8.259486132
2005-11-30,23.4,33.24013336,10.87455208,1.314847079,23.12305177
2005-12-31,24.3,39.15534083,8.223923949,4.032014038,4.12287959
2006-01-31,23.7,32.43966719,15.0455649,8.904300562,11.9238284
2006-02-28,23.8,23.30333563,14.15874434,6.515293745,12.31799631
2006-03-31,24.4,25.54169625,14.31720201,9.852081787,14.11480395
2006-04-30,25.5,28.27605502,11.6333088,1.873940931,3.818240847
2006-05-31,26.2,28.79151581,19.61114665,13.63663323,20.21912
2006-06-30,26.6,29.45094722,13.07468568,-0.562661656,13.63080955
2006-07-31,26.7,31.01298033,16.83628658,-6.363368737,9.670358544
2006-08-31,26.5,29.42025621,26.87251023,-0.33013254,20.21459768
2006-09-30,27.1,25.36382299,13.53005273,-3.57053329,15.36501368
2006-10-31,27.6,20.31779924,15.57720633,-1.986457246,17.67393579
2006-11-30,28.1,17.58605313,-0.193499421,-4.418017553,1.00034567
2006-12-31,27.6,22.72166109,-5.802830655,-12.7364811,-3.55743769
2007-01-31,28.0,17.20742172,-1.581156268,3.132358018,8.821236199
2007-02-28,27.8,20.03053871,-16.45273383,-1.591900856,-5.322896074
2007-03-31,27.1,28.09410328,-3.973923806,6.308058271,6.414350634
2007-04-30,27.0,8.659755356,-6.425026242,8.628939689,2.133647504
2007-05-31,25.4,9.728602733,-3.623457149,43.94704038,7.653623941
2007-06-30,25.1,2.841657009,-23.77560288,-26.64486706,-9.034242197
2007-07-31,24.1,-6.537244937,-32.28385806,-16.16673567,-21.14783703
2007-08-31,23.9,-2.450806286,-36.74036741,-18.98851279,-19.25553571
2007-09-30,23.4,-9.892887493,-47.94190016,-19.48742011,-29.03382702
2007-10-31,23.3,-11.18755815,-38.49400502,-18.21448418,-33.57667509
2007-11-30,23.5,-3.748733002,-34.04799594,-9.916126056,-40.47512634
2007-12-31,23.1,-11.64112347,-28.85543637,-2.846379112,-26.36232883
2008-01-31,23.3,-9.366569575,-31.84254661,-3.806975277,-21.44677596
2008-02-29,23.7,2.887641125,-36.70354467,-7.199447318,-28.39458737
2008-03-31,21.6,-12.61423414,-46.75328345,-16.02064414,-49.47465947
2008-04-30,18.4,-18.82796938,-67.30093483,-10.14858471,-55.43197464
2008-05-31,17.4,-19.11126349,-50.29799595,-21.29090797,-49.109383
2008-06-30,15.5,-10.2584269,-38.15832117,-9.644349635,-45.72953629
2008-07-31,14.4,-2.467530539,-29.44945113,-6.740601918,-40.92236921
2008-08-31,12.5,-7.238651283,-24.46003476,-3.579120538,-31.92392281
2008-09-30,11.2,3.545185248,-16.03516871,-16.43013316,-19.98362029
2008-10-31,10.8,14.63930878,-8.651834124,-6.472057914,-16.02599624
2008-11-30,10.6,12.58590027,15.54186028,-4.278362405,7.982009492
2008-12-31,9.9,7.951880039,14.58495768,-3.359852886,5.60437099
2009-01-31,9.8,10.54596282,23.30421434,-21.87796938,2.895509466
2009-02-28,9.9,15.16810145,23.08462765,-18.96057375,1.298323353
2009-03-31,10.2,24.21130671,36.4191113,-4.382512897,20.78598755
2009-04-30,11.0,30.33019771,42.75590715,-16.53877793,25.74102394
2009-05-31,12.2,35.69714353,46.35837849,-20.91955947,24.55724216
2009-06-30,13.2,29.78505669,63.47429039,1.222442239,38.02767849
2009-07-31,15.5,27.88818322,55.74005323,-0.175425945,39.16952892
2009-08-31,16.9,26.21465599,47.11086257,11.68255158,33.79190326
2009-09-30,18.0,23.97045315,27.50193347,-0.296486451,26.6493957
2009-10-31,18.7,24.65215976,29.01984878,13.8106216,26.67398496
2009-11-30,18.7,24.40715871,27.48370065,17.20159387,19.76480139
2009-12-31,18.6,11.93968947,19.59606562,18.2619502,19.98007824
2010-01-31,18.3,25.33640469,-11.53569421,1.291134775,-7.908495201
2010-02-28,17.6,20.70641183,7.742078491,15.87940658,2.224809777
2010-03-31,17.4,9.463428171,3.035044435,19.39757947,-5.792116985
2010-04-30,17.2,23.65212584,5.975807141,9.51007248,11.6238309
2010-05-31,16.5,29.17630538,7.883014345,18.42920945,5.790091288
2010-06-30,16.8,14.66530656,-6.990905329,27.38975004,0.413788268
2010-07-31,16.8,3.873599318,-13.55990764,30.90659338,-1.943585248
2010-08-31,16.8,15.12740273,-14.29883589,5.69815586,-20.60275973
2010-09-30,16.4,6.517903975,-5.307894641,18.75290864,-1.205649727
2010-10-31,15.3,2.974973276,-16.64479981,-5.475784164,-14.84663913
2010-11-30,14.7,8.783617858,-16.78877794,-4.832404415,-12.51522005
2010-12-31,15.1,12.62737595,-9.640449111,-10.82122956,-11.21895125
2011-01-31,14.6,11.79394109,3.062516132,4.521975563,-11.76455681
2011-02-28,14.6,15.64492869,2.093007066,7.37185438,0.757330519
2011-03-31,14.2,8.592245371,-5.396609267,4.935629735,3.204419143
2011-04-30,14.7,11.91952099,-3.935385918,14.80367417,4.891805782
2011-05-31,14.3,9.915264057,-1.417922093,10.214407,2.027814751
2011-06-30,14.7,14.21763919,4.125970969,2.67496759,8.421576699
2011-07-31,14.5,13.76651636,4.652745176,-6.42560168,8.145044908
2011-08-31,14.5,16.78795426,-0.893484682,-3.689874887,-1.341335772
2011-09-30,15.0,5.752672084,0.529704362,-4.095848852,-4.761469061
2011-10-31,15.3,11.19065777,-0.981345234,2.015919054,6.717627326
2011-11-30,15.5,1.043334469,3.018461,8.028651658,16.90502909
2011-12-31,15.3,-0.927390807,0.095707818,12.90482336,5.00096722
2012-01-31,15.7,26.838679,1.487275734,5.119492218,6.451055063
2012-02-29,15.6,26.10035298,6.299045774,8.527229509,6.981906409
2012-03-31,15.0,25.74175135,13.76137606,2.154309812,11.94918539
2012-04-30,15.5,17.38144071,3.531527387,1.471285856,-7.129456458
2012-05-31,15.0,9.492819529,-0.751457487,-3.285326688,-5.386232512
2012-06-30,15.2,10.79340244,-7.668336659,-9.332721467,-4.022759401
2012-07-31,15.3,10.51249702,-5.823973839,-13.53980245,-15.46325695
2012-08-31,15.4,15.8886701,-9.195450234,-2.277400104,2.201002373
2012-09-30,15.2,21.01915612,4.324173737,4.546172293,-4.98385677
2012-10-31,15.5,16.55880622,11.81347122,9.126123639,18.8850823
2012-11-30,16.2,1.93164428,3.970733613,0.849298269,9.772430007
2012-12-31,15.8,19.65131743,7.675438135,0.100772292,0.835518415
2013-01-31,16.1,12.83321212,-3.204343324,-6.003460132,11.09608014
2013-02-28,16.7,18.94308408,9.478806052,3.535595612,19.40378798
2013-03-31,16.9,27.98088485,17.72720394,6.748661528,13.52393457
2013-04-30,16.6,32.44681585,28.46384274,14.14644043,22.01421266
2013-05-31,17.4,38.92024933,33.79454027,19.92697404,30.97768983
2013-06-30,17.0,45.47611423,38.73503751,13.29312664,26.23518195
2013-07-31,17.3,50.7094261,51.83572108,14.84357211,38.49140348
2013-08-31,18.3,45.30739546,63.32060616,21.45989793,58.119003
2013-09-30,19.2,52.29032245,45.24104912,6.695201253,51.97029175
2013-10-31,20.8,62.74867459,53.89064773,1.960774386,43.87552774
2013-11-30,21.2,61.353691,59.37677836,1.596873837,40.84198122
2013-12-31,21.8,47.9546499,43.30413434,0.138289542,32.70197989
2014-01-31,21.3,37.84414055,29.7359336,-7.122539344,24.46506662
2014-02-28,20.9,38.34187727,22.97484836,-15.19230271,15.39842995
2014-03-31,22.3,38.11694994,22.95496842,-6.146530707,20.87331078
2014-04-30,22.7,39.4043469,22.33626574,-1.767484541,28.08621103
2014-05-31,22.6,37.28052051,14.45180322,2.517522246,19.10236106
2014-06-30,23.9,32.4757924,8.313536079,5.249210998,11.70705417
2014-07-31,24.1,28.17000214,-3.844345824,8.471769686,9.997150973
2014-08-31,22.2,24.20751966,-18.55164935,-15.45720923,-21.94312749
2014-09-30,21.6,21.14842975,-10.63433448,-4.935139314,-5.082812249
2014-10-31,20.5,7.781506404,-16.32418297,-2.981382506,-8.698965687
2014-11-30,20.1,13.16795396,-12.56130895,-9.694185163,-11.64691025
2014-12-31,19.8,15.28374265,-12.77236795,-19.25865968,-3.933789754
2015-01-31,19.8,10.49376831,-6.779299915,-1.223464039,0.586480174
2015-02-28,19.5,13.32289734,1.409504498,-11.37279122,-2.316803688
2015-03-31,19.0,22.41631867,-1.653411451,-8.140800686,-1.491016081
2015-04-30,18.5,25.31725053,7.764159292,-17.51960518,0.159914277
2015-05-31,18.6,33.57543106,25.40370599,-9.685071418,9.242269035
2015-06-30,18.2,37.81313969,20.5451325,-9.228589168,9.329805566
2015-07-31,18.9,37.2539428,25.73311072,-14.85108879,9.814510183
2015-08-31,18.6,24.8122065,19.18801755,-14.15864603,0.968663877
2015-09-30,18.8,25.09754334,14.18017727,-6.726962488,12.3419419
2015-10-31,18.7,27.62648954,10.69583904,-11.23787881,2.94343947
2015-11-30,18.5,37.44246,3.040552773,-9.936909582,-3.044331048
2015-12-31,17.8,36.36746222,11.90970308,-2.032690899,7.118870075
2016-01-31,18.6,23.6653612,18.29708809,6.076388545,14.62026475
2016-02-29,19.6,13.53036398,13.92162886,5.384353193,18.31011911
2016-03-31,19.5,0.675697964,3.045305169,-1.214146138,6.141651392
2016-04-30,20.0,6.977531339,-19.29776719,-4.915105785,-4.724828565
2016-05-31,19.8,0.521962704,-27.2381403,-23.73165843,-19.65469628
2016-06-30,18.4,-27.86890876,-34.27462973,-45.33371647,-32.0496122
2016-07-31,17.1,0.536702275,-25.7017897,-27.50085716,-30.47655469
2016-08-31,17.1,15.70697283,-6.086064194,-6.515157971,-1.516214201
2016-09-30,16.9,24.10353597,8.019308465,-12.10684595,5.434262362
2016-10-31,16.7,20.65506039,9.952328428,-3.43712038,4.99360959
2016-11-30,17.5,13.91881187,7.174602075,-3.630258079,4.916375862
2016-12-31,17.4,3.457799327,0.003597783,-7.884640012,-4.756157303
2017-01-31,16.8,16.41766299,4.152557772,-10.4332489,-3.528885291
2017-02-28,17.1,13.66326924,3.384866,-7.469643762,4.756211929
2017-03-31,16.8,12.23962432,6.556285203,-6.849921844,3.082523936
2017-04-30,16.9,4.047475956,0.043659324,-10.69918871,-5.198829502
2017-05-31,17.0,8.820938183,-10.69478574,-21.88252985,-5.372708643
2017-06-30,17.2,2.799554838,-13.86038114,-26.36841468,-6.961637203
2017-07-31,16.9,0.590749737,-10.82434506,-15.54625341,-9.828343123
2017-08-31,16.8,11.00118751,-10.77090864,-6.668482912,-9.241452794
2017-09-30,16.7,0.549754752,-19.9599993,-6.072725777,-15.69872882
2017-10-31,16.1,-7.59326311,-19.14720171,-15.09221581,-21.43925327
2017-11-30,15.5,2.426050085,-5.353489352,-8.792643639,-11.13659763
2017-12-31,15.3,2.79976542,-18.00767868,-12.63857469,-16.44884631
2018-01-31,15.6,7.985262306,-4.568105413,-10.56789622,-6.647929521
2018-02-28,15.2,8.788414271,-3.513952047,-11.37277804,-9.364571381
2018-03-31,14.9,6.275707773,-9.658905303,-8.714042362,-12.86789595
2018-04-30,15.3,3.717554557,0.092981665,4.715486824,1.730521157
2018-05-31,15.0,3.896734519,-7.593339641,5.601339505,0.397867859
2018-06-30,15.0,2.656808445,-10.90698623,-5.71861144,-13.0867575
2018-07-31,15.1,-4.766760355,-8.472692471,-13.43497167,-7.146126604
2018-08-31,14.8,-3.764660861,-18.27905118,-24.44914333,-19.36821318
2018-09-30,14.6,-15.2204082,-9.180061889,-7.806671131,-8.685775658
