,ricsp,RICSEXPSALSAP,RICSNBESAP,RICSNISSAP,RICSASSA
Aug-02,36.8,18.76539335,-16.86754826,2.216210387,-15.26252051
Sep-02,34.5,19.59867168,2.105137191,17.26205952,-1.953699986
Oct-02,33.9,16.01564208,-5.663777839,24.20469344,1.347530799
Nov-02,34.9,21.66963899,-8.65205661,21.50684491,-5.637085657
Dec-02,32.9,10.80422067,-16.2554461,16.93756961,-12.59463112
Jan-03,32.4,4.337594215,-10.88973657,25.46147012,6.056943073
Feb-03,31.6,-6.709369584,-43.22332867,13.47152848,-14.22792378
Mar-03,29.2,-11.22783467,-62.5215143,12.76364815,-28.58285382
Apr-03,28.0,7.610140311,-29.71209894,8.999953963,-30.34814743
May-03,29.2,15.46229024,-4.326286524,14.83132015,-11.1740522
Jun-03,29.3,32.45459527,14.18157704,8.615397098,2.306092847
Jul-03,28.0,29.89458843,17.06435547,12.39673506,9.140194978
Aug-03,29.5,34.1602771,16.65520805,0.463853815,11.17949924
Sep-03,31.7,37.90181335,33.15705622,8.621343511,26.83314749
Oct-03,32.7,22.81234738,16.05464934,-5.899573074,12.8934541
Nov-03,34.3,22.36511542,-5.092478772,0.398070446,-4.628887203
Dec-03,32.0,28.65703408,-5.476077772,0.694781537,-3.76379116
Jan-04,32.0,25.89472311,16.18939124,3.748613451,25.60975714
Feb-04,32.6,23.73797239,9.106540584,-5.742878851,17.44551699
Mar-04,31.2,23.5477055,4.458207707,-3.590045208,8.461169697
Apr-04,31.7,26.79001869,6.335659499,-11.53746625,3.674060802
May-04,30.1,18.35390422,-18.43179855,0.928599068,-13.19583806
Jun-04,29.6,0.069796169,-37.68412596,16.38737391,-18.80523317
Jul-04,28.9,13.63317618,-28.75104838,3.651875887,-32.37426113
Aug-04,29.0,16.26118987,-35.90219887,20.12010373,-30.7746154
Sep-04,27.7,11.2680873,-22.45296061,31.17532966,-22.26579374
Oct-04,24.4,18.16377562,-24.0491332,21.85697628,-24.60987322
Nov-04,23.4,30.82391619,-6.997563939,29.07654696,-16.61717909
Dec-04,22.7,16.93803427,-8.368025925,15.94047094,-3.131868397
Jan-05,21.0,19.50065266,-1.685267724,19.36006226,-8.281472774
Feb-05,20.6,23.56169273,-3.383228166,22.07581079,0.148187784
Mar-05,21.2,22.58173894,-4.978892732,16.59108237,-9.279670975
Apr-05,21.7,23.56501235,2.276793048,20.53662627,-1.367254355
May-05,22.2,23.6033483,-10.65729563,12.31069991,-8.924218105
Jun-05,22.3,25.36092756,11.38677554,14.62294512,-3.115668277
Jul-05,22.6,34.66965288,6.794243724,9.39114802,3.706460376
Aug-05,23.1,29.96223274,15.09396375,6.261954442,11.67962096
Sep-05,23.8,35.91231047,19.6013737,1.003583816,4.642677914
Oct-05,23.2,27.86564441,20.09194444,5.816852431,8.259486132
Nov-05,23.4,33.24013336,10.87455208,1.314847079,23.12305177
Dec-05,24.3,39.15534083,8.223923949,4.032014038,4.12287959
Jan-06,23.7,32.43966719,15.0455649,8.904300562,11.9238284
Feb-06,23.8,23.30333563,14.15874434,6.515293745,12.31799631
Mar-06,24.4,25.54169625,14.31720201,9.852081787,14.11480395
Apr-06,25.5,28.27605502,11.6333088,1.873940931,3.818240847
May-06,26.2,28.79151581,19.61114665,13.63663323,20.21912
Jun-06,26.6,29.45094722,13.07468568,-0.562661656,13.63080955
Jul-06,26.7,31.01298033,16.83628658,-6.363368737,9.670358544
Aug-06,26.5,29.42025621,26.87251023,-0.33013254,20.21459768
Sep-06,27.1,25.36382299,13.53005273,-3.57053329,15.36501368
Oct-06,27.6,20.31779924,15.57720633,-1.986457246,17.67393579
Nov-06,28.1,17.58605313,-0.193499421,-4.418017553,1.00034567
Dec-06,27.6,22.72166109,-5.802830655,-12.7364811,-3.55743769
Jan-07,28.0,17.20742172,-1.581156268,3.132358018,8.821236199
Feb-07,27.8,20.03053871,-16.45273383,-1.591900856,-5.322896074
Mar-07,27.1,28.09410328,-3.973923806,6.308058271,6.414350634
Apr-07,27.0,8.659755356,-6.425026242,8.628939689,2.133647504
May-07,25.4,9.728602733,-3.623457149,43.94704038,7.653623941
Jun-07,25.1,2.841657009,-23.77560288,-26.64486706,-9.034242197
Jul-07,24.1,-6.537244937,-32.28385806,-16.16673567,-21.14783703
Aug-07,23.9,-2.450806286,-36.74036741,-18.98851279,-19.25553571
Sep-07,23.4,-9.892887493,-47.94190016,-19.48742011,-29.03382702
Oct-07,23.3,-11.18755815,-38.49400502,-18.21448418,-33.57667509
Nov-07,23.5,-3.748733002,-34.04799594,-9.916126056,-40.47512634
Dec-07,23.1,-11.64112347,-28.85543637,-2.846379112,-26.36232883
Jan-08,23.3,-9.366569575,-31.84254661,-3.806975277,-21.44677596
Feb-08,23.7,2.887641125,-36.70354467,-7.199447318,-28.39458737
Mar-08,21.6,-12.61423414,-46.75328345,-16.02064414,-49.47465947
Apr-08,18.4,-18.82796938,-67.30093483,-10.14858471,-55.43197464
May-08,17.4,-19.11126349,-50.29799595,-21.29090797,-49.109383
Jun-08,15.5,-10.2584269,-38.15832117,-9.644349635,-45.72953629
Jul-08,14.4,-2.467530539,-29.44945113,-6.740601918,-40.92236921
Aug-08,12.5,-7.238651283,-24.46003476,-3.579120538,-31.92392281
Sep-08,11.2,3.545185248,-16.03516871,-16.43013316,-19.98362029
Oct-08,10.8,14.63930878,-8.651834124,-6.472057914,-16.02599624
Nov-08,10.6,12.58590027,15.54186028,-4.278362405,7.982009492
Dec-08,9.9,7.951880039,14.58495768,-3.359852886,5.60437099
Jan-09,9.8,10.54596282,23.30421434,-21.87796938,2.895509466
Feb-09,9.9,15.16810145,23.08462765,-18.96057375,1.298323353
Mar-09,10.2,24.21130671,36.4191113,-4.382512897,20.78598755
Apr-09,11.0,30.33019771,42.75590715,-16.53877793,25.74102394
May-09,12.2,35.69714353,46.35837849,-20.91955947,24.55724216
Jun-09,13.2,29.78505669,63.47429039,1.222442239,38.02767849
Jul-09,15.5,27.88818322,55.74005323,-0.175425945,39.16952892
Aug-09,16.9,26.21465599,47.11086257,11.68255158,33.79190326
Sep-09,18.0,23.97045315,27.50193347,-0.296486451,26.6493957
Oct-09,18.7,24.65215976,29.01984878,13.8106216,26.67398496
Nov-09,18.7,24.40715871,27.48370065,17.20159387,19.76480139
Dec-09,18.6,11.93968947,19.59606562,18.2619502,19.98007824
Jan-10,18.3,25.33640469,-11.53569421,1.291134775,-7.908495201
Feb-10,17.6,20.70641183,7.742078491,15.87940658,2.224809777
Mar-10,17.4,9.463428171,3.035044435,19.39757947,-5.792116985
Apr-10,17.2,23.65212584,5.975807141,9.51007248,11.6238309
May-10,16.5,29.17630538,7.883014345,18.42920945,5.790091288
Jun-10,16.8,14.66530656,-6.990905329,27.38975004,0.413788268
Jul-10,16.8,3.873599318,-13.55990764,30.90659338,-1.943585248
Aug-10,16.8,15.12740273,-14.29883589,5.69815586,-20.60275973
Sep-10,16.4,6.517903975,-5.307894641,18.75290864,-1.205649727
Oct-10,15.3,2.974973276,-16.64479981,-5.475784164,-14.84663913
Nov-10,14.7,8.783617858,-16.78877794,-4.832404415,-12.51522005
